surveycode,varname,qraw
sch-hs,ne_fruit,ne_fruit
sch-hs,ne_veg,ne_veg
sch-hs,ne_tv,ne_tv
sch-hs,ne_video,ne_video
sch-hs,ne_computer,ne_computer
sch-hs,ne_hard,ne_hard
sch-hs,ne_easy,ne_easy
sch-hs,ne_muscles,ne_muscles
sch-hs,ne_weight,ne_weight
sch-hs,da_tobacco,da_tobacco
sch-hs,da_legal,da_legal
sch-hs,da_meds,da_meds
sch-hs,da_illegal,da_illegal
sch-hs,da_alcohol,da_alcohol
sch-hs,da_mari,da_mari
sch-hs,em_visit,em_visit
sch-hs,em_sad,em_sad
sch-hs,em_attempt,em_attempt
sch-hs,em_outsch,em_outsch
sch-hs,em_adult,em_adult
sch-hs,em_svcs,em_svcs
sch-hs,em_self,em_self
